Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
22,31,22,1,78,0,0,0,10
4,4,8,1,120,0,0,0,10
0,0,0,0,125,0,0,0,10
0,2,0,0,124,0,0,0,10
0,1,0,0,112,0,0,0,10
0,0,0,0,121,0,0,0,10
0,0,0,0,106,0,0,0,10
0,0,0,0,108,0,0,0,10
0,0,0,0,96,0,0,0,10
5,66,6,0,85,3,0,0,7
5,14,17,0,93,0,0,0,10
0,0,0,0,121,0,0,0,10
7,21,3,1,121,0,0,0,10
0,0,0,0,127,0,0,0,10
1,23,4,0,117,0,0,0,10
0,0,0,0,120,0,0,0,10
0,0,0,0,104,0,0,0,10
0,0,0,0,104,0,0,0,10
0,0,0,0,109,0,0,0,10
0,2,0,0,105,0,0,0,10
0,0,0,0,104,0,0,0,10
0,0,0,0,97,0,0,0,10
0,0,0,0,94,0,0,0,10
0,0,0,0,95,0,0,0,10
0,0,0,0,94,0,0,0,10
0,0,0,0,80,0,0,0,10
0,0,0,0,85,0,0,0,10
0,0,0,0,70,0,0,0,10
3,7,0,0,68,0,0,0,10
0,0,0,0,89,0,0,0,10
0,0,0,0,100,0,0,0,10
9,33,8,1,100,1,0,0,9
0,2,0,0,92,0,0,0,10
70,118,10,1,180,0,10,0,0
6,5,3,1,166,6,0,0,4
0,0,0,0,197,0,0,0,10
0,0,0,0,179,0,0,0,10
0,0,0,0,212,0,0,0,10
0,0,0,0,205,0,0,0,10
4,11,5,1,180,0,0,0,10
1,0,0,0,196,0,0,0,10
0,0,0,0,195,0,0,0,10
3,0,0,0,205,0,0,0,10
0,0,0,0,345,0,0,0,10
0,0,0,0,252,0,0,0,10
0,0,0,0,161,0,0,0,10
0,0,0,0,134,0,0,0,10
0,0,0,0,145,0,0,0,10
0,0,0,0,161,0,0,0,10
27,65,20,1,152,0,0,2,8
113,62,38,1,234,0,10,0,0
0,0,0,0,155,0,0,0,10
0,0,0,0,169,0,0,0,10
0,0,0,0,192,0,0,0,10
10,12,12,1,210,0,0,0,10
6,14,10,0,200,1,0,0,9
4,7,4,0,175,0,0,0,10
18,12,4,1,205,1,0,0,9
109,38,5,3,230,0,10,0,0
443,123,126,2,285,0,10,0,0
113,74,48,1,282,0,10,0,0
103,111,75,2,145,0,10,0,0
0,0,0,0,133,0,0,10,0
1,70,44,0,102,0,0,9,1
130,61,49,3,64,0,10,0,0
83,45,47,1,43,0,10,0,0
155,29,219,2,0,0,10,0,0
22,5,6,0,71,0,0,10,0
0,0,0,0,75,0,0,6,4
60,33,15,2,51,0,0,6,4
25,26,4,0,75,0,0,7,3
221,86,49,4,50,0,10,0,0
0,0,0,0,87,0,0,0,10
0,0,0,0,88,0,0,0,10
55,1,12,1,75,0,0,2,8
76,133,66,1,90,0,10,0,0
2,27,3,0,110,0,0,0,10
169,183,129,3,98,0,10,0,0
17,72,14,1,142,0,0,2,8
258,282,281,3,111,0,10,0,0
35,69,86,0,350,0,0,10,0
111,28,36,1,265,0,10,0,0
0,0,0,0,204,0,0,0,10
0,0,0,0,155,0,0,0,10
15,32,2,0,161,0,0,0,10
10,51,28,0,270,0,0,0,10
0,0,2,0,291,0,0,0,10
0,0,0,0,268,0,0,0,10
116,35,24,1,338,0,10,0,0
0,0,0,0,354,0,0,10,0
0,0,0,0,305,0,0,8,2
0,0,0,0,281,0,0,0,10
19,9,0,0,197,0,0,0,10
0,0,0,0,137,0,0,0,10
0,0,0,0,129,0,0,0,10
0,0,0,0,118,4,0,0,6
0,0,0,0,133,0,0,0,10
0,0,0,0,145,0,0,0,10
0,0,0,0,116,0,0,0,10
0,0,7,0,128,0,0,0,10
0,0,0,0,123,0,0,0,10
0,0,0,0,105,0,0,0,10
0,0,0,0,103,0,0,0,10
0,0,0,0,147,0,0,0,10
0,0,0,0,130,0,0,0,10
8,28,30,0,157,1,0,0,9
0,0,0,0,272,0,0,0,10
0,0,0,0,267,0,0,0,10
0,0,0,0,252,0,0,0,10
0,0,0,0,261,0,0,0,10
